segment_id,date_local,uptime,pedestrian_lft,pedestrian_rgt,pedestrian_total,bike_lft,bike_rgt,bike_total,car_lft,car_rgt,car_total,heavy_lft,heavy_rgt,heavy_total,v85,car_speed0,car_speed10,car_speed20,car_speed30,car_speed40,car_speed50,car_speed60,car_speed70
9000006244,2023-12-30 08:00,0.999167,0,1,1,2,1,3,59,74,133,3,1,4,33.0,6.02,12.78,42.11,34.59,3.76,0.75,0.0,0.0
9000006244,2023-12-30 09:00,0.999722,3,1,4,2,4,6,119,102,221,2,1,3,33.0,1.36,6.33,45.25,42.08,4.52,0.45,0.0,0.0
9000006244,2023-12-30 10:00,0.999722,14,8,22,2,3,5,159,172,331,1,1,2,31.5,0.3,6.95,56.19,35.35,1.21,0.0,0.0,0.0
9000006244,2023-12-30 11:00,0.999167,14,4,18,1,6,7,189,213,402,4,7,11,31.0,0.75,7.71,59.45,29.6,2.24,0.0,0.0,0.25
9000006244,2023-12-30 12:00,0.999722,3,5,8,1,5,6,217,203,420,4,2,6,31.5,0.71,6.19,60.24,30.0,2.86,0.0,0.0,0.0
9000006244,2023-12-30 13:00,0.999722,6,6,12,0,9,9,188,194,382,9,7,16,31.0,0.52,7.85,60.21,28.8,2.36,0.26,0.0,0.0
9000006244,2023-12-30 14:00,0.999444,6,2,8,0,15,15,206,223,429,5,5,10,31.0,0.7,8.16,60.61,28.9,1.63,0.0,0.0,0.0
9000006244,2023-12-30 15:00,0.999444,7,10,17,7,10,17,222,210,432,1,3,4,30.0,0.93,7.41,67.36,23.15,1.16,0.0,0.0,0.0
9000006244,2023-12-30 16:00,0.249722,0,0,0,4,0,4,212,188,400,0,0,0,30.5,7.0,15.0,49.0,28.0,1.0,0.0,0.0,0.0
9000006244,2023-12-31 08:00,0.749444,0,0,0,3,4,7,25,41,67,0,0,0,33.0,4.0,10.0,42.0,38.0,4.0,2.0,0.0,0.0
9000006244,2023-12-31 09:00,0.999722,6,2,8,2,3,5,73,62,135,1,1,2,35.5,0.0,5.93,43.7,41.48,5.93,2.96,0.0,0.0
9000006244,2023-12-31 10:00,0.999167,7,3,10,1,7,8,101,97,198,0,2,2,35.5,0.51,3.03,44.44,42.93,8.08,1.01,0.0,0.0
9000006244,2023-12-31 11:00,0.998889,17,10,27,0,3,3,124,125,249,1,1,2,34.5,0.8,5.62,50.2,36.14,6.02,0.8,0.4,0.0
9000006244,2023-12-31 12:00,0.999444,6,8,14,3,9,12,136,129,265,3,4,7,32.0,0.0,7.92,55.09,33.21,3.02,0.38,0.38,0.0
9000006244,2023-12-31 13:00,0.999722,11,11,22,1,7,8,118,143,261,4,3,7,32.0,0.77,7.28,52.11,34.87,4.6,0.38,0.0,0.0
9000006244,2023-12-31 14:00,0.999167,9,1,10,1,2,3,166,134,300,3,6,9,32.0,1.0,6.33,56.33,32.67,3.0,0.33,0.33,0.0
9000006244,2023-12-31 15:00,0.999444,0,1,1,3,3,6,167,113,280,2,1,3,31.5,5.71,5.71,52.14,34.29,2.14,0.0,0.0,0.0
9000006244,2024-01-02 08:00,0.999167,2,3,5,0,3,3,89,142,231,2,4,6,31.0,15.15,10.39,45.45,26.41,2.6,0.0,0.0,0.0
9000006244,2024-01-02 09:00,0.999444,4,2,6,2,3,5,127,130,257,9,2,11,31.5,0.78,3.89,56.81,35.8,1.95,0.39,0.39,0.0
9000006244,2024-01-02 10:00,0.999722,7,0,7,2,2,4,167,142,309,12,6,18,31.0,1.62,9.71,53.72,31.39,3.24,0.32,0.0,0.0
9000006244,2024-01-02 11:00,0.999167,4,3,7,0,5,5,132,158,290,5,12,17,31.5,1.72,5.86,58.97,31.38,2.07,0.0,0.0,0.0
9000006244,2024-01-02 12:00,0.999167,8,1,9,4,1,5,174,147,321,12,13,25,32.0,0.93,5.92,51.4,39.25,2.49,0.0,0.0,0.0
9000006244,2024-01-02 13:00,1.0,3,7,10,0,5,5,154,163,317,6,7,13,32.0,0.63,5.99,53.0,36.59,3.79,0.0,0.0,0.0
9000006244,2024-01-02 14:00,0.999444,7,4,11,3,1,4,183,172,355,6,6,12,31.5,1.69,9.01,51.83,36.62,0.85,0.0,0.0,0.0
9000006244,2024-01-02 15:00,0.749722,3,4,7,5,7,12,227,161,388,1,1,3,31.0,1.03,8.93,52.92,35.4,1.37,0.34,0.0,0.0
9000006244,2024-01-03 08:00,0.999167,1,1,2,1,3,4,120,176,296,5,5,10,30.5,4.05,9.12,58.11,27.36,1.35,0.0,0.0,0.0
9000006244,2024-01-03 09:00,0.999444,3,5,8,1,3,4,150,158,308,16,10,26,30.5,0.65,9.74,61.36,27.27,0.97,0.0,0.0,0.0
9000006244,2024-01-03 10:00,0.999444,2,1,3,2,2,4,152,152,304,15,9,24,31.0,0.33,9.21,58.22,30.59,1.32,0.33,0.0,0.0
9000006244,2024-01-03 11:00,0.999722,8,1,9,2,6,8,162,148,310,13,12,25,31.5,0.65,6.13,57.42,33.55,1.94,0.32,0.0,0.0
9000006244,2024-01-03 12:00,0.999722,1,0,1,4,3,7,171,177,348,11,15,26,30.5,0.86,7.18,64.37,27.01,0.57,0.0,0.0,0.0
9000006244,2024-01-03 13:00,0.999722,2,5,7,3,4,7,173,174,347,15,10,25,31.0,1.15,7.49,57.64,32.28,1.44,0.0,0.0,0.0
9000006244,2024-01-03 14:00,0.999444,3,1,4,2,11,13,205,202,407,6,12,18,31.5,0.25,7.86,57.74,31.2,2.7,0.25,0.0,0.0
9000006244,2024-01-03 15:00,0.999444,3,8,11,1,6,7,244,195,439,2,4,6,31.0,1.59,8.88,53.08,34.4,2.05,0.0,0.0,0.0
9000006244,2024-01-04 08:00,0.999444,1,0,1,0,6,6,88,156,244,4,2,6,32.5,6.56,13.11,43.44,33.61,2.46,0.82,0.0,0.0
9000006244,2024-01-04 09:00,0.999167,7,2,9,3,2,5,151,174,325,8,11,19,31.5,0.62,7.08,59.08,30.15,3.08,0.0,0.0,0.0
9000006244,2024-01-04 10:00,0.999444,2,0,2,0,1,1,170,150,320,5,7,12,30.0,0.94,12.19,62.81,23.44,0.62,0.0,0.0,0.0
9000006244,2024-01-04 11:00,0.999722,1,2,3,1,4,5,190,164,354,12,10,22,30.5,1.41,9.6,64.41,22.6,1.69,0.28,0.0,0.0
9000006244,2024-01-04 12:00,0.999167,0,1,1,3,4,7,186,159,345,6,8,14,30.0,0.58,9.57,64.35,24.35,1.16,0.0,0.0,0.0
9000006244,2024-01-04 13:00,0.999722,6,2,8,3,2,5,213,181,394,12,14,26,30.0,1.02,10.91,64.72,21.57,1.78,0.0,0.0,0.0
9000006244,2024-01-04 14:00,0.999722,3,2,5,1,7,8,195,250,445,6,7,13,30.0,2.7,13.48,57.08,26.29,0.45,0.0,0.0,0.0
9000006244,2024-01-04 15:00,0.999444,0,2,2,3,2,5,262,206,468,3,1,4,30.0,1.71,13.68,58.33,25.64,0.64,0.0,0.0,0.0
9000006244,2024-01-05 08:00,0.999722,0,0,0,1,3,4,35,117,152,1,4,5,29.5,7.89,21.05,48.68,21.05,0.66,0.66,0.0,0.0
9000006244,2024-01-05 09:00,0.999444,0,0,0,1,4,5,39,166,205,6,11,17,32.5,1.95,11.22,51.71,32.2,2.44,0.49,0.0,0.0
9000006244,2024-01-05 10:00,0.749167,0,1,1,0,0,0,56,153,209,5,16,21,31.5,1.27,14.01,54.14,26.75,3.18,0.64,0.0,0.0
9000006244,2024-01-05 11:00,1.00028,0,1,1,1,1,2,79,126,205,16,6,22,32.5,4.88,7.32,52.68,27.8,5.85,1.46,0.0,0.0
9000006244,2024-01-05 12:00,0.881667,0,2,2,0,3,3,143,191,333,67,33,100,32.0,2.04,8.16,57.14,28.23,4.08,0.34,0.0,0.0
9000006244,2024-01-05 13:00,0.998889,6,3,9,0,4,4,119,177,296,141,49,190,32.0,1.01,10.81,55.41,28.04,4.05,0.68,0.0,0.0
9000006244,2024-01-05 14:00,0.999722,1,5,6,2,4,6,154,221,375,200,45,245,34.5,1.6,6.4,47.73,35.73,8.27,0.27,0.0,0.0
